time,waist_pos,shoulder_pos,elbow_pos,forearm_roll_pos,wrist_angle_pos,wrist_rotate_pos
1.782207015341349840e+09,-7.209710031747817993e-02,-1.455747842788696289e+00,1.145883679389953613e+00,3.067961661145091057e-03,5.951845645904541016e-01,-6.596117466688156128e-02
1.782207015351280928e+09,-7.056311517953872681e-02,-1.455747842788696289e+00,1.153553605079650879e+00,3.067961661145091057e-03,5.844466686248779297e-01,-6.596117466688156128e-02
1.782207015361647844e+09,-7.209710031747817993e-02,-1.457281827926635742e+00,1.161223530769348145e+00,3.067961661145091057e-03,5.752428174018859863e-01,-6.596117466688156128e-02
1.782207015371302843e+09,-7.056311517953872681e-02,-1.460349798202514648e+00,1.168893337249755859e+00,3.067961661145091057e-03,5.645049214363098145e-01,-6.596117466688156128e-02
1.782207015381528854e+09,-7.209710031747817993e-02,-1.463417768478393555e+00,1.176563262939453125e+00,3.067961661145091057e-03,5.537670850753784180e-01,-6.596117466688156128e-02
1.782207015391295671e+09,-7.056311517953872681e-02,-1.466485619544982910e+00,1.184233188629150391e+00,3.067961661145091057e-03,5.445631742477416992e-01,-6.596117466688156128e-02
1.782207015401172876e+09,-7.056311517953872681e-02,-1.469553589820861816e+00,1.193437099456787109e+00,3.067961661145091057e-03,5.353593230247497559e-01,-6.442719697952270508e-02
1.782207015411869287e+09,-7.209710031747817993e-02,-1.474155545234680176e+00,1.199573040008544922e+00,3.067961661145091057e-03,5.261554121971130371e-01,-6.442719697952270508e-02
1.782207015421128511e+09,-7.056311517953872681e-02,-1.480291485786437988e+00,1.205708980560302734e+00,3.067961661145091057e-03,5.169515609741210938e-01,-6.442719697952270508e-02
1.782207015431273937e+09,-7.056311517953872681e-02,-1.484893441200256348e+00,1.214912772178649902e+00,3.067961661145091057e-03,5.092816352844238281e-01,-6.442719697952270508e-02
1.782207015441385031e+09,-7.209710031747817993e-02,-1.491029381752014160e+00,1.221048712730407715e+00,3.067961661145091057e-03,5.000777244567871094e-01,-6.442719697952270508e-02
1.782207015451291561e+09,-7.209710031747817993e-02,-1.497165322303771973e+00,1.230252623558044434e+00,3.067961661145091057e-03,4.939418137073516846e-01,-6.442719697952270508e-02
1.782207015461162090e+09,-7.209710031747817993e-02,-1.504835247993469238e+00,1.236388564109802246e+00,3.067961661145091057e-03,4.862719178199768066e-01,-6.442719697952270508e-02
1.782207015472542524e+09,-7.056311517953872681e-02,-1.510971069335937500e+00,1.242524504661560059e+00,3.067961661145091057e-03,4.786020219326019287e-01,-6.442719697952270508e-02
1.782207015481172800e+09,-7.209710031747817993e-02,-1.518640995025634766e+00,1.247126460075378418e+00,3.067961661145091057e-03,4.724660813808441162e-01,-6.442719697952270508e-02
1.782207015491604567e+09,-7.056311517953872681e-02,-1.527844905853271484e+00,1.253262281417846680e+00,3.067961661145091057e-03,4.663301706314086914e-01,-6.442719697952270508e-02
1.782207015501198530e+09,-7.056311517953872681e-02,-1.535514831542968750e+00,1.259398221969604492e+00,3.067961661145091057e-03,4.632622003555297852e-01,-6.442719697952270508e-02
1.782207015511240482e+09,-7.209710031747817993e-02,-1.544718742370605469e+00,1.264000177383422852e+00,3.067961661145091057e-03,4.586602747440338135e-01,-6.596117466688156128e-02
1.782207015521216869e+09,-7.209710031747817993e-02,-1.550854563713073730e+00,1.268602132797241211e+00,3.067961661145091057e-03,4.555923044681549072e-01,-6.596117466688156128e-02
